,Image_ID,class,xmin,ymin,width,height,xc_yolo,yc_yolo,width_yolo,height_yolo
0,ID_007FAIEI,fruit_woodiness,87.0,87.5,228.0,311.0,0.392578125,0.474609375,0.4453125,0.607421875
1,ID_00G8K1V3,fruit_brownspot,97.5,17.5,245.0,354.5,0.4296875,0.38037109375,0.478515625,0.6923828125
2,ID_00WROUT9,fruit_brownspot,156.5,209.5,248.0,302.5,0.5478515625,0.70458984375,0.484375,0.5908203125
3,ID_00ZJEEK3,fruit_healthy,125.0,193.0,254.5,217.0,0.49267578125,0.5888671875,0.4970703125,0.423828125
4,ID_018UIENR,fruit_brownspot,79.5,232.5,233.5,182.0,0.38330078125,0.6318359375,0.4560546875,0.35546875
5,ID_01QZDXVQ,fruit_woodiness,139.5,238.5,285.5,231.5,0.55126953125,0.69189453125,0.5576171875,0.4521484375
6,ID_02PX7GI8,fruit_brownspot,1.5,94.5,256.0,236.0,0.2529296875,0.4150390625,0.5,0.4609375
7,ID_02PX7GI8,fruit_brownspot,124.0,352.5,160.5,159.5,0.39892578125,0.84423828125,0.3134765625,0.3115234375
8,ID_03WE3EVQ,fruit_brownspot,168.0,95.5,340.0,202.5,0.66015625,0.38427734375,0.6640625,0.3955078125
9,ID_052XYWUM,fruit_woodiness,37.5,206.0,197.5,168.0,0.26611328125,0.56640625,0.3857421875,0.328125
10,ID_055U1LPM,fruit_woodiness,220.5,84.0,161.5,227.0,0.58837890625,0.3857421875,0.3154296875,0.443359375
11,ID_058OQ45J,fruit_brownspot,124.0,146.5,232.0,172.0,0.46875,0.4541015625,0.453125,0.3359375
12,ID_05A7I1ZP,fruit_woodiness,321.0,275.5,145.5,194.5,0.76904296875,0.72802734375,0.2841796875,0.3798828125
13,ID_05A7I1ZP,fruit_woodiness,238.0,248.0,119.0,141.0,0.5810546875,0.6220703125,0.232421875,0.275390625
14,ID_05G9F711,fruit_brownspot,93.5,72.0,308.0,234.5,0.4833984375,0.36962890625,0.6015625,0.4580078125
15,ID_05R05ZLJ,fruit_healthy,85.0,99.5,276.5,236.5,0.43603515625,0.42529296875,0.5400390625,0.4619140625
16,ID_05V8XX4L,fruit_woodiness,286.5,150.5,162.0,193.5,0.7177734375,0.48291015625,0.31640625,0.3779296875
17,ID_05V8XX4L,fruit_woodiness,112.0,118.0,155.5,184.0,0.37060546875,0.41015625,0.3037109375,0.359375
18,ID_06EXUMWA,fruit_healthy,43.5,122.0,287.0,217.5,0.365234375,0.45068359375,0.560546875,0.4248046875
19,ID_06GLI7SR,fruit_healthy,125.0,163.5,280.0,222.0,0.517578125,0.5361328125,0.546875,0.43359375
20,ID_06KI6V1N,fruit_brownspot,77.5,201.5,232.0,274.5,0.3779296875,0.66162109375,0.453125,0.5361328125
21,ID_06N0H7F1,fruit_healthy,91.0,168.5,309.5,239.0,0.47998046875,0.5625,0.6044921875,0.466796875
22,ID_06N0H7F1,fruit_healthy,337.0,236.5,175.0,194.0,0.8291015625,0.6513671875,0.341796875,0.37890625
23,ID_07HGJOFB,fruit_healthy,283.0,389.5,220.5,122.5,0.76806640625,0.88037109375,0.4306640625,0.2392578125
24,ID_07HGJOFB,fruit_healthy,275.5,10.0,198.0,183.0,0.7314453125,0.1982421875,0.38671875,0.357421875
25,ID_07HGJOFB,fruit_healthy,115.0,206.0,204.0,168.0,0.423828125,0.56640625,0.3984375,0.328125
26,ID_07MFGPW3,fruit_healthy,141.0,189.5,244.5,197.5,0.51416015625,0.56298828125,0.4775390625,0.3857421875
27,ID_07MFGPW3,fruit_healthy,4.5,233.0,81.5,58.0,0.08837890625,0.51171875,0.1591796875,0.11328125
28,ID_08A3G5RD,fruit_healthy,154.0,212.5,276.5,234.0,0.57080078125,0.6435546875,0.5400390625,0.45703125
29,ID_08K42EBS,fruit_brownspot,76.0,141.0,272.5,195.5,0.41455078125,0.46630859375,0.5322265625,0.3818359375
30,ID_08PV7SQB,fruit_healthy,100.5,168.5,234.5,198.0,0.42529296875,0.5224609375,0.4580078125,0.38671875
31,ID_09C4OIQT,fruit_brownspot,1.5,137.5,338.5,269.0,0.33349609375,0.53125,0.6611328125,0.525390625
32,ID_09WS71T3,fruit_healthy,38.5,146.5,313.0,241.5,0.380859375,0.52197265625,0.611328125,0.4716796875
33,ID_0A1VFEP3,fruit_brownspot,80.0,217.5,256.0,197.0,0.40625,0.6171875,0.5,0.384765625
34,ID_0ACABJ4D,fruit_brownspot,75.0,137.0,264.5,211.0,0.40478515625,0.4736328125,0.5166015625,0.412109375
35,ID_0APCI9O1,fruit_healthy,121.5,138.5,243.5,206.0,0.47509765625,0.4716796875,0.4755859375,0.40234375
36,ID_0B07EJ8B,fruit_woodiness,187.5,1.0,265.0,331.0,0.625,0.3251953125,0.517578125,0.646484375
37,ID_0BFNU714,fruit_brownspot,84.0,236.0,312.0,249.5,0.46875,0.70458984375,0.609375,0.4873046875
38,ID_0C374A9P,fruit_brownspot,75.0,80.5,366.5,229.0,0.50439453125,0.380859375,0.7158203125,0.447265625
39,ID_0CISYX8S,fruit_brownspot,156.0,164.0,266.5,238.5,0.56494140625,0.55322265625,0.5205078125,0.4658203125
